,index,property_name,Property_type,property_type,society,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,address,floorNum,facing,agePossession,description,floor_Num,total_floors,area,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,Bed,Light,Chimney,Exhaust Fan,Fan,TV,Dining Table,Microwave,Wardrobe,Sofa,Modular Kitchen,Stove,Washing Machine,AC,Curtains,Water Purifier,Geyser,Fridge,furnishing_type,luxury_score,Environment,Safety,Lifestyle,Connectivity,Green_area,Management,Construction,Amenities
285,285,3 BHK Flat in Sector 56 Gurgaon,flat,3 BHK,sukhshanti apartment,1.7,7727.0,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),3,3,3,"402, Sector 56 Gurgaon, Gurgaon, Haryana",4th   of 8 Floors,South,Moderately Old,"Opposite dlf metro station
Best for office goers to cyber city
 Additional details :The apartment has munciple supply water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",4.0,8.0,2200.0,,1610.0,2200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4,4,5,5,,,,
286,286,3 BHK Flat in Sector 65 Gurgaon,flat,3 BHK,m3m golfestate,6.15,15998.0,Carpet area: 3844 (357.12 sq.m.),3,5,3+,"Duplex 3bhk, Sector 65 Gurgaon, Gurgaon, Haryana",1st   of 14 Floors,West,Relatively New,"3bhk flat/apartment for sale in m3m golf estate, sector 65 gurgaon, gurgaon, haryanaWelcome to your dream home! We are delighted to present this exquisite semi furnished 3bhk residential apartment situated in m3m golf estate, sector 65 gurgaon, gurgaon, haryana. This meticulously designed apartment offers a perfect blend of style, comfort, and convenience for modern living.Property features:
Size and layout: Sprawling across a carpet area of 3844 sqft, this 3bhk apartment provides ample space for a comfortable and spacious living experience.
 The thoughtfully planned layout encompasses a well-Defined living room,3 cozy bedrooms, a contemporary kitchen, 5 well-Appointed bathrooms, and 3 balconies with a servant room. The living room is designed to be the heart of the home, offering an inviting space for relaxation and entertainment.
Natural lighting and ventilation: Large windows throughout the apartment ensure an abundance of natural light, creating a bright and airy atmosphere. Proper ventilation enhances airflow, maintaining a fresh and pleasant living environment.
Prime location: This residential apartment is located in a highly sought-After neighborhood, known for its convenience and connectivity. Close proximity to schools, hospitals, shopping centers, and recreational facilities makes it an ideal choice for families. Well-Developed infrastructure and excellent transportation links provide easy access to major city destinations.
Additional amenities: Maintenance staff, water storage, park, visitor parking, security / fire alarm, feng shui / vaastu compliant, intercom facility, lift(s), water purifier, park, natural light, airy rooms, spacious interiors, waste disposal, rain water harvesting.Don't miss this opportunity to make this semi-Furnished 3bhk apartment your new home. Wait no more and schedule a tour today.
For more details, kindly contact the owner.
 Additional details :Piped gas facility is available in the property.
The apartment has munciple supply water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1.0,14.0,3844.0,,3844.0,,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,2,49,,,,5,5,5,5,5
287,287,3 BHK Flat in Palam Vihar,flat,3 BHK,bestech park view residency,1.4,7865.0,Super Built up area 1780(165.37 sq.m.),3,3,3+,"Palam Vihar, Gurgaon, Haryana",6th   of 14 Floors,North,Old Property,"This is your chance to own a 3 bhk residential apartment in bestech park view residency, palam vihar, gurgaon, haryana where luxury comes with affordability.
Basic details:
You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 1780sq. Ft. And is a furnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.
 Additional details :The apartment has munciple supply water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",6.0,14.0,1780.0,1780.0,,,0,0,0,0,0,3,20,1,1,4,1,1,1,3,1,1,1,0,4,1,1,4,1,2,107,,,,4,5,4,4,5
288,288,3 BHK Flat in Sector 84 Gurgaon,flat,3 BHK,ss almeria,1.48,7400.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1294 sq.ft. (120.22 sq.m.),3,3,2,"8-B First Floor, The Almeria, Sector 84, Gurgaon, Sector 84 Gurgaon, Gurgaon, Haryana",1st   of 3 Floors,South-West,New Property,"This is your chance to own a 3 bhk residential apartment in ss almeria, sector 84 gurgaon, gurgaon, haryana where luxury comes with affordability.
Basic details:
You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 2 balconies. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 2000sq. Ft. And is a furnished unit. It consists of wardrobes, beds, exhaust fan, geysers, curtains, fridge, dining table, stove, acs, chimney, tv, microwave, sofa, washing machine, lights and fans. There is plenty of room for the whole family to enjoy. The unit has spacious interiors, full/partial power back up and 24*7 water facility. Apart from this, you will love the convenience of your own covered/open parking slots.
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.
 Additional details :Piped gas facility is available in the property.
The apartment has munciple supply water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1.0,3.0,2000.0,2000.0,1294.0,,0,1,1,0,0,0,30,1,0,5,0,0,0,3,0,1,1,0,5,0,0,3,0,1,139,4,4,4,4,,,,
289,289,4 BHK Flat in Sector 33 Gurgaon,flat,4 BHK,jmd gardens,3.25,7510.0,Carpet area: 4328 (402.08 sq.m.),4,4,3+,"Park Facing Block, Sector 33 Gurgaon, Gurgaon, Haryana",17th   of 17 Floors,South-East,Old Property,"This is your chance to own a 4 bhk residential apartment in jmd gardens, sector 33 gurgaon, gurgaon, haryana where luxury comes with affordability.
Basic details:
You will love this bright and spacious 4 bedroom apartment with 4 bathrooms, modular kitchen, spacious hall and 3 balconies. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 4328sq. Ft. And is a semi furnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.
 Additional details :The apartment has munciple supply water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",17.0,17.0,4328.0,,4328.0,,0,1,0,0,0,0,99,1,0,0,0,0,0,5,0,0,0,0,3,0,0,1,0,1,130,,,,5,5,4,4,4
290,290,3 BHK Flat in Kanahi,flat,3 BHK,cghs agrim apartment,1.49,8514.0,Carpet area: 1750 (162.58 sq.m.),3,2,3+,"Gurgaon. 122001, Kanahi, Gurgaon, Haryana",1st   of 7 Floors,South-East,Old Property,"Just opposite huda city centre metro. Day to day needs are available at hands distance. Amenity like schools,hospitals, temple and shopping centres are nearby.
Very airy and plentiful light makes you feel good and comfortable.
Its nicely done and decorated professionally with latest technology.
Once you see it in person, it will be hard to resist.
 Additional details :Piped gas facility is available in the property.
The apartment has munciple supply water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1.0,7.0,1750.0,,1750.0,,0,0,0,0,0,0,8,1,1,4,0,1,0,3,0,1,1,0,1,1,0,2,1,1,68,,,,,,,,
291,291,2 BHK Flat in Sector-11 sohna,flat,2 BHK,global hill view,0.3,4599.0,Carpet area: 761 (70.7 sq.m.),2,2,2,"Tower 1,flat 1608, Global Hill View,sohna Sector 11, Sector-11 sohna, Gurgaon, Haryana",16th   of 18 Floors,South-East,Relatively New,"This is your chance to own a 2 bhk residential apartment in global hill view, sector 11 gurgaon, gurgaon, haryana where luxury comes with affordability.
Basic details:
You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 2 balconies. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 761sq. Ft. And is an unfurnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.
 Additional details :The apartment has munciple supply water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",16.0,18.0,652.0,,761.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
292,292,3 BHK Flat in Sector 67 Gurgaon,flat,3 BHK,ireo victory valley,3.49,13000.0,Carpet area: 2452 (227.8 sq.m.),3,3,3,"T-B,flat Num-1901, Sector 67 Gurgaon, Gurgaon, Haryana",19th   of 40 Floors,South-East,Relatively New,"Ireo victory valley is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector-67 gurgaon is your opportunity to be a part of this community. The flat is over 2452 sq.Ft. Carpet area and comes with 3 bedroom(s), 4 bathrooms and 3 balconies. The residential building has 40 floors in total and the flat for sale is located on the 19th floor. This 1-5 years old property is available for immediate possession as the project is ready to move.",19.0,40.0,2685.0,,2452.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,,,,5,5,4.5,4,4
293,293,2 BHK Flat in Sector 62 Gurgaon,flat,2 BHK,emaar digihomes,2.15,14257.0,Carpet area: 1508 (140.1 sq.m.),2,2,3,"3301, Sector 62 Gurgaon, Gurgaon, Haryana",31st   of 32 Floors,,Under Construction,"This is your chance to own a 2 bhk residential apartment in emaar digihomes, sector 62 gurgaon, gurgaon, haryana where luxury comes with affordability.
Basic details:
You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 3 balconies. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 1508sq. Ft. And is an unfurnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.",31.0,32.0,1508.0,,1508.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,4,4,5,4,,,,
294,294,2 BHK Flat in Sector-33 Sohna,flat,2 BHK,godrej nature plus,1.4,9333.0,Super Built up area 1500(139.35 sq.m.)Carpet area: 1385 sq.ft. (128.67 sq.m.),2,2,3,"Sector-33 Sohna, Gurgaon, Haryana",14th   of 22 Floors,,Under Construction,"Garden facing. This property is right on the gurgaon sohna highway and very close to gd goenka school.This beautiful 2 bhk flat in sector-33 sohna, gurgaon is situated in godrej nature plus, one of the popular residential society in gurgaon. The flat is over 1385 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and more than 3 balconies. The flat has a total of 22 floors and this property is situated on 14th floor. This residential flat is currently under construction and you can expect the possession of the same within 2 months",14.0,22.0,1500.0,1500.0,1385.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,,,,,,,,
295,295,3 BHK Flat in DLF Phase 5,flat,3 BHK,dlf carlton estate,2.0,14214.0,Super Built up area 1407(130.71 sq.m.),3,3,2,"DLF Phase 5, Gurgaon, Haryana",5th   of 19 Floors,South-West,Moderately Old,"This is your chance to own a 3 bhk residential apartment in dlf carlton estate, dlf phase 5, gurgaon, haryana where luxury comes with affordability.
Basic details:
You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 2 balconies. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 1407sq. Ft. And is a semi furnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.
 Additional details :The apartment has munciple supply water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",5.0,19.0,1407.0,1407.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,2,0,0,65,,,,5,5,4.5,4.5,4.5
296,296,3 BHK Flat in Sector 61 Gurgaon,flat,3 BHK,smart world orchard,2.3,14110.0,Super Built up area 1630(151.43 sq.m.),3,3,2,"D-8b, Sector 61 Gurgaon, Gurgaon, Haryana",2nd   of 4 Floors,,undefined,"Smartworld orchard is an under construction luxury housing colony in sector-61 gurgaon. Situated opposite grand hyatt hotel, and walking distance from sec-56 rapid metro station. This 3bhk unit has a great location within smartworld orchard compound - Walking distance from the gate, shopping area and club.There is space towards the front side balcony as there is no unit in front due to society layout.Possession expected in early 2024. Price includes gst, and is negotiable.",2.0,4.0,1630.0,1630.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,,,,,,,,
297,297,2 BHK Flat in Sohna,flat,2 BHK,signature global park,0.54,7248.0,Carpet area: 745 (69.21 sq.m.),2,1,3,"J-26, Sohna, Gurgaon, Haryana",1st   of 4 Floors,,undefined,Park facing property for the unique view,1.0,4.0,745.0,,745.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,,,,5,5,4,5,5
298,298,4 BHK Flat in Sector 9A Gurgaon,flat,4 BHK,railway officers rpf society,1.25,6921.0,Carpet area: 1806 (167.78 sq.m.),4,3,3,"101, Tower A, Sector 9A Gurgaon, Gurgaon, Haryana",1st   of 10 Floors,South-West,Old Property,"4bhk flat/apartment for sale in rpf housing society, sector 9 gurgaon, gurgaon, haryana
Welcome to your dream home! We are delighted to present this exquisite semi furnished 4bhk residential apartment situated in rpf housing society, sector 9 gurgaon, gurgaon, haryana. This meticulously designed apartment offers a perfect blend of style, comfort, and convenience for modern living.Property features:
Size and layout: Sprawling across a carpet area of 1806 sqft, this 4bhk apartment provides ample space for a comfortable and spacious living experience.
 The thoughtfully planned layout encompasses a well-Defined living room,4 cozy bedrooms, a contemporary kitchen, 3 well-Appointed bathrooms, and 3 balconies with a servant room. The living room is designed to be the heart of the home, offering an inviting space for relaxation and entertainment.
Natural lighting and ventilation: Large windows throughout the apartment ensure an abundance of natural light, creating a bright and airy atmosphere. Proper ventilation enhances airflow, maintaining a fresh and pleasant living environment.
Prime location: This residential apartment is located in a highly sought-After neighborhood, known for its convenience and connectivity. Proximity to schools, hospitals, shopping centers, and recreational facilities makes it an ideal choice for families. Well-Developed infrastructure and excellent transportation links provide easy access to major city destinations.
Additional amenities: Power backup, feng shui / vaastu compliant, lift(s), piped-Gas, club, house / community center, rain water harvesting.Don't miss this opportunity to make this semi-Furnished 4bhk apartment your new home. Wait no more and schedule a tour today.
For more details, kindly contact the owner.",1.0,10.0,1806.0,,1806.0,,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,3,0,1,12,4,4,4,4,,,,
299,299,2 BHK Flat in Sector 85 Gurgaon,flat,2 BHK,godrej air,1.05,10603.0,Built Up area: 97 Carpet area: 92 sq.m.,2,2,1,"Sector 85 Gurgaon, Gurgaon, Haryana",15th   of 32 Floors,East,undefined,"Vastu compliant, middle floor, facing towards rest of the project. In a5 tower.",15.0,32.0,990.0,,92.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,4.5,5,5,,,,
300,300,3 BHK Flat in Sector 77 Gurgaon,flat,3 BHK,emaar mgf palm hills,1.25,8620.0,Carpet area: 1450 (134.71 sq.m.),3,4,3,"Ph3 40 102, Sector 77 Gurgaon, Gurgaon, Haryana",1st   of 7 Floors,West,Relatively New,"Seamless connectivity to international airport via nh48
Central located at the intersection of nh8, dwarka expressway and 60 mtr wide sector road
Low density living with 2 apartment on each floor 
Properties with 100% power backup available
 Additional details :The apartment has munciple supply water supply.
Full power backup is available.
The society has dedicated security guards for every tower.",1.0,7.0,1450.0,,1450.0,,0,1,0,0,0,0,12,1,1,6,0,0,0,2,0,1,0,0,0,0,1,1,0,1,104,,,,4.5,4,5,4.5,5
301,301,1 BHK Flat in Sector 28 Gurgaon,flat,1 BHK,maruti vihar,1.0,9090.0,Super Built up area 1100(102.19 sq.m.),1,1,1,"Sector 28 Gurgaon, Gurgaon, Haryana",1st   of 2 Floors,North,Old Property,"We are the proud owners of this 1 bhk apartment available in maruti vihar, sector 28 gurgaon, gurgaon. This it is a and the unit is located on 1st floor and has a super built-Up area of 1100 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.",1.0,2.0,1100.0,1100.0,,,1,0,0,1,0,0,8,1,1,3,0,0,0,6,0,1,0,0,1,0,0,1,0,1,80,4,4,5,5,,,,
302,302,5 BHK Flat in Sector 14 Gurgaon,flat,5 BHK,vasant appartments,1.7,7391.0,Carpet area: 2300 (213.68 sq.m.),5,5,2,"336 Old Delhi Road, Opp Sector-14, Sector 14 Gurgaon, Gurgaon, Haryana",2nd   of 3 Floors,North-West,Old Property,"Prime location on old delhi-Gurgaon road, biggest apartment in society, 250 sqft build up additionally on terrace , with roof rights , independent floor, gated society, near to udyog vihar , hospitals , markets in sector 14 and sadar bazar , metro station, corner flat.
 Additional details :The apartment has munciple supply water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",2.0,3.0,2300.0,,2300.0,,1,0,1,1,0,4,10,1,1,10,0,0,1,5,0,1,0,1,2,0,1,2,0,2,71,4,4,5,5,,,,
303,303,4 BHK Flat in Sector 86 Gurgaon,flat,4 BHK,ansal heights 86,1.3,4666.0,Super Built up area 2786(258.83 sq.m.),4,6,2,"11 Th Floor, Sector 86 Gurgaon, Gurgaon, Haryana",11st   of 14 Floors,East,New Property,Ready to move property directly available from owner. Nice view looking at aravali hills situation on 11th floor. It is east facing unit hence has ample of sunlight from all directions property is connected via wide road across super speciality hospital,11.0,14.0,2786.0,2786.0,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,5,4.5,5,4.5,,,,
304,304,3 BHK Flat in Sector 102 Gurgaon,flat,3 BHK,shapoorji pallonji joyville gurugram,2.12,16960.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,"Sector 102 Gurgaon, Gurgaon, Haryana",9th   of 26 Floors,,Relatively New,"Pls find below exclusive features of my flat, 100% gaurranty which you can't get in any other tower of joyville and can be further verified on-Site itself.1. Exclusive 100 acre huda park view from all balconies of the flat, which means that completely uninterrupted view of lush green area 1-2 kilometers upto dwarka expressway and even beyond that. Only hooda park of such magnitude on entire dwarka expressway. 
2. Flat has view of both sunrise and sunset means sunshine of both morning and evening.3. Shapoorji pallonji, phase-2, tower 1, meridian t 1- 905 , 3 bhk luxury 1852 sq ft , 4. Mivan construction, wooden flooring in all rooms, with ac units installed. 5. Excellent approach- Mid point of dwarka expressway, equidistance from delhi and nh8.6. Cross-Section of main gurgaon road 
Ie. 10 mintues to hero honda chownk and 15 minutes to aiims jajjar and kmp.7. 3-4 top school are on walking distance @100-300 mtr. Dps is right opposite to main gate.8. Super speciallty hospital is under construction @ 200 mtr away.9. Dwarka 
 Expressway is just 300 mtr away 10. Proposed metro station is at 500mtr away in sector 101.11. Mid level floor ie. Best view is gaurantted.12. Limited inventory, pls compare apple to apple what others are offering to you, within joyville. 13. Best 3bhk layout, with private balconies, which you find rarely in other projects.14. Vastu compliant unit.15. 100% appreciating unit of entire joyville project, which has potential to hit 3cr value in just 1 yrs time.
Expected price 1.92c. And last installment will be paid by buyer itself to client, which further saves your interest and time also there is another additional saving of 10-12 lac.",9.0,26.0,1250.0,,1250.0,1852.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,72,,,,4,4,4,5,5
305,305,3 BHK Flat in Sector 61 Gurgaon,flat,3 BHK,puri the aravallis,3.9,33209.0,Carpet area: 1249.65 (116.1 sq.m.),3,4,3+,"B3303, Sector 61 Gurgaon, Gurgaon, Haryana",33rd   of 42 Floors,South,undefined,"This is your chance to own a 3 bhk residential apartment in puri the aravallis, sector 61 gurgaon, gurgaon, haryana where luxury comes with affordability.
Basic details:
You will love this bright and spacious 3 bedrooms apartment with 4 bathrooms, modular kitchen, spacious hall and 3 balconies with servant room. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 1249.65 sq. Ft. And is a semi furnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.",33.0,42.0,1174.0,,1249.68879,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,,,,,,,,
306,306,3 BHK Flat in Nirvana Country,flat,3 BHK,the close north,3.0,11516.0,Super Built up area 2605(242.01 sq.m.),3,3,3+,"Nirvana Country, Gurgaon, Haryana",14th   of 18 Floors,North,Old Property,"This beautiful 3 bhk flat in nirvana country, gurgaon is situated in the close north, one of the popular residential society in gurgaon. This is a north-Facing property. The flat occupies a super built up area of 2605 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and more than 3 balconies. The property is located on the 14th floor of a 18 floors tall building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The floor of this flat is beautifully designed using wood flooring, giving the flat an alluring look. Proximity to landmarks like close to school, close to hospital, close to market and close to airport makes this an ideal property for families. The society is well equipped with many modern amenities, including maintenance staff, visitor parking, park, lift(s), shopping centre, fitness centre / gym, swimming pool, club house / community center and security personnel. This residential project ensures a 24*7 water and power supply for its residents.",14.0,18.0,2605.0,2605.0,,,0,1,0,0,0,0,20,1,1,7,0,0,0,3,0,1,1,0,0,0,1,4,0,1,121,,,,4,5,4.5,4,5
